"","month","agebin","densitybin","fraction_infected_bin","count","num_in_group","freq_frac_infect","site"
"76",7,15,500,50,0,4,0,"dapelogo_2007"
"77",7,15,500,80,1,4,0.25,"dapelogo_2007"
"78",7,15,500,100,0,4,0,"dapelogo_2007"
"79",7,15,5000,0,1,6,0.166666666666667,"dapelogo_2007"
"80",7,15,5000,5,1,6,0.166666666666667,"dapelogo_2007"
"81",7,15,5000,20,3,6,0.5,"dapelogo_2007"
"82",7,15,5000,50,1,6,0.166666666666667,"dapelogo_2007"
"83",7,15,5000,80,0,6,0,"dapelogo_2007"
"84",7,15,5000,100,0,6,0,"dapelogo_2007"
"85",7,15,50000,0,0,0,NA,"dapelogo_2007"
"86",7,15,50000,5,0,0,NA,"dapelogo_2007"
"87",7,15,50000,20,0,0,NA,"dapelogo_2007"
"88",7,15,50000,50,0,0,NA,"dapelogo_2007"
"89",7,15,50000,80,0,0,NA,"dapelogo_2007"
"90",7,15,50000,100,0,0,NA,"dapelogo_2007"
"91",7,15,5e+05,0,0,0,NA,"dapelogo_2007"
"92",7,15,5e+05,5,0,0,NA,"dapelogo_2007"
"93",7,15,5e+05,20,0,0,NA,"dapelogo_2007"
"94",7,15,5e+05,50,0,0,NA,"dapelogo_2007"
"95",7,15,5e+05,80,0,0,NA,"dapelogo_2007"
"96",7,15,5e+05,100,0,0,NA,"dapelogo_2007"
"97",7,80,0,0,7,12,0.583333333333333,"dapelogo_2007"
"98",7,80,0,5,5,12,0.416666666666667,"dapelogo_2007"
"99",7,80,0,20,0,12,0,"dapelogo_2007"
"100",7,80,0,50,0,12,0,"dapelogo_2007"
"101",7,80,0,80,0,12,0,"dapelogo_2007"
"102",7,80,0,100,0,12,0,"dapelogo_2007"
"103",7,80,0.5,0,3,3,1,"dapelogo_2007"
"104",7,80,0.5,5,0,3,0,"dapelogo_2007"
"105",7,80,0.5,20,0,3,0,"dapelogo_2007"
"106",7,80,0.5,50,0,3,0,"dapelogo_2007"
"107",7,80,0.5,80,0,3,0,"dapelogo_2007"
"108",7,80,0.5,100,0,3,0,"dapelogo_2007"
"109",7,80,5,0,2,2,1,"dapelogo_2007"
"110",7,80,5,5,0,2,0,"dapelogo_2007"
"111",7,80,5,20,0,2,0,"dapelogo_2007"
"112",7,80,5,50,0,2,0,"dapelogo_2007"
"113",7,80,5,80,0,2,0,"dapelogo_2007"
"114",7,80,5,100,0,2,0,"dapelogo_2007"
"115",7,80,50,0,2,3,0.666666666666667,"dapelogo_2007"
"116",7,80,50,5,1,3,0.333333333333333,"dapelogo_2007"
"117",7,80,50,20,0,3,0,"dapelogo_2007"
"118",7,80,50,50,0,3,0,"dapelogo_2007"
"119",7,80,50,80,0,3,0,"dapelogo_2007"
"120",7,80,50,100,0,3,0,"dapelogo_2007"
"121",7,80,500,0,2,3,0.666666666666667,"dapelogo_2007"
"122",7,80,500,5,1,3,0.333333333333333,"dapelogo_2007"
"123",7,80,500,20,0,3,0,"dapelogo_2007"
"124",7,80,500,50,0,3,0,"dapelogo_2007"
"125",7,80,500,80,0,3,0,"dapelogo_2007"
"126",7,80,500,100,0,3,0,"dapelogo_2007"
"127",7,80,5000,0,2,4,0.5,"dapelogo_2007"
"128",7,80,5000,5,2,4,0.5,"dapelogo_2007"
"129",7,80,5000,20,0,4,0,"dapelogo_2007"
"130",7,80,5000,50,0,4,0,"dapelogo_2007"
"131",7,80,5000,80,0,4,0,"dapelogo_2007"
"132",7,80,5000,100,0,4,0,"dapelogo_2007"
"133",7,80,50000,0,0,0,NA,"dapelogo_2007"
"134",7,80,50000,5,0,0,NA,"dapelogo_2007"
"135",7,80,50000,20,0,0,NA,"dapelogo_2007"
"136",7,80,50000,50,0,0,NA,"dapelogo_2007"
"137",7,80,50000,80,0,0,NA,"dapelogo_2007"
"138",7,80,50000,100,0,0,NA,"dapelogo_2007"
"139",7,80,5e+05,0,0,0,NA,"dapelogo_2007"
"140",7,80,5e+05,5,0,0,NA,"dapelogo_2007"
"141",7,80,5e+05,20,0,0,NA,"dapelogo_2007"
"142",7,80,5e+05,50,0,0,NA,"dapelogo_2007"
"143",7,80,5e+05,80,0,0,NA,"dapelogo_2007"
"144",7,80,5e+05,100,0,0,NA,"dapelogo_2007"
"145",9,5,0,0,0,1,0,"dapelogo_2007"
"146",9,5,0,5,0,1,0,"dapelogo_2007"
"147",9,5,0,20,1,1,1,"dapelogo_2007"
"148",9,5,0,50,0,1,0,"dapelogo_2007"
"149",9,5,0,80,0,1,0,"dapelogo_2007"
"150",9,5,0,100,0,1,0,"dapelogo_2007"
"151",9,5,0.5,0,1,1,1,"dapelogo_2007"
"152",9,5,0.5,5,0,1,0,"dapelogo_2007"
"153",9,5,0.5,20,0,1,0,"dapelogo_2007"
"154",9,5,0.5,50,0,1,0,"dapelogo_2007"
"155",9,5,0.5,80,0,1,0,"dapelogo_2007"
"156",9,5,0.5,100,0,1,0,"dapelogo_2007"
"157",9,5,5,0,0,0,NA,"dapelogo_2007"
"158",9,5,5,5,0,0,NA,"dapelogo_2007"
"159",9,5,5,20,0,0,NA,"dapelogo_2007"
"160",9,5,5,50,0,0,NA,"dapelogo_2007"
"161",9,5,5,80,0,0,NA,"dapelogo_2007"
"162",9,5,5,100,0,0,NA,"dapelogo_2007"
"163",9,5,50,0,1,2,0.5,"dapelogo_2007"
"164",9,5,50,5,1,2,0.5,"dapelogo_2007"
"165",9,5,50,20,0,2,0,"dapelogo_2007"
"166",9,5,50,50,0,2,0,"dapelogo_2007"
"167",9,5,50,80,0,2,0,"dapelogo_2007"
"168",9,5,50,100,0,2,0,"dapelogo_2007"
"169",9,5,500,0,1,2,0.5,"dapelogo_2007"
"170",9,5,500,5,0,2,0,"dapelogo_2007"
"171",9,5,500,20,1,2,0.5,"dapelogo_2007"
"172",9,5,500,50,0,2,0,"dapelogo_2007"
"173",9,5,500,80,0,2,0,"dapelogo_2007"
"174",9,5,500,100,0,2,0,"dapelogo_2007"
"175",9,5,5000,0,0,2,0,"dapelogo_2007"
"176",9,5,5000,5,0,2,0,"dapelogo_2007"
"177",9,5,5000,20,0,2,0,"dapelogo_2007"
"178",9,5,5000,50,2,2,1,"dapelogo_2007"
"179",9,5,5000,80,0,2,0,"dapelogo_2007"
"180",9,5,5000,100,0,2,0,"dapelogo_2007"
"181",9,5,50000,0,0,0,NA,"dapelogo_2007"
"182",9,5,50000,5,0,0,NA,"dapelogo_2007"
"183",9,5,50000,20,0,0,NA,"dapelogo_2007"
"184",9,5,50000,50,0,0,NA,"dapelogo_2007"
"185",9,5,50000,80,0,0,NA,"dapelogo_2007"
"186",9,5,50000,100,0,0,NA,"dapelogo_2007"
"187",9,5,5e+05,0,0,0,NA,"dapelogo_2007"
"188",9,5,5e+05,5,0,0,NA,"dapelogo_2007"
"189",9,5,5e+05,20,0,0,NA,"dapelogo_2007"
"190",9,5,5e+05,50,0,0,NA,"dapelogo_2007"
"191",9,5,5e+05,80,0,0,NA,"dapelogo_2007"
"192",9,5,5e+05,100,0,0,NA,"dapelogo_2007"
"193",9,15,0,0,4,5,0.8,"dapelogo_2007"
"194",9,15,0,5,0,5,0,"dapelogo_2007"
"195",9,15,0,20,1,5,0.2,"dapelogo_2007"
"196",9,15,0,50,0,5,0,"dapelogo_2007"
"197",9,15,0,80,0,5,0,"dapelogo_2007"
"198",9,15,0,100,0,5,0,"dapelogo_2007"
"199",9,15,0.5,0,0,0,NA,"dapelogo_2007"
"200",9,15,0.5,5,0,0,NA,"dapelogo_2007"
"201",9,15,0.5,20,0,0,NA,"dapelogo_2007"
