"agebin","Village","Seasons","densitybin","count_asex","bin_total_asex","asexual_par_dens_freq","count_gamet","bin_total_gamet","gametocyte_dens_freq","Site","year","month0","month"
30,"Sugungum","DC2",5e+06,1,228,0.0043859649122807,NA,NA,NA,"Sugungum_1970",2,"DC",2
30,"Sugungum","DH2",0,75,112,0.669642857142857,111,112,0.991071428571429,"Sugungum_1970",2,"DH",7
30,"Sugungum","DH2",50,29,112,0.258928571428571,1,112,0.00892857142857143,"Sugungum_1970",2,"DH",7
30,"Sugungum","DH2",500,8,112,0.0714285714285714,NA,NA,NA,"Sugungum_1970",2,"DH",7
30,"Sugungum","W2",0,146,238,0.613445378151261,217,238,0.911764705882353,"Sugungum_1970",2,"W",10
30,"Sugungum","W2",50,74,238,0.310924369747899,21,238,0.0882352941176471,"Sugungum_1970",2,"W",10
30,"Sugungum","W2",500,16,238,0.0672268907563025,NA,NA,NA,"Sugungum_1970",2,"W",10
30,"Sugungum","W2",5000,1,238,0.00420168067226891,NA,NA,NA,"Sugungum_1970",2,"W",10
30,"Sugungum","W2",5e+06,1,238,0.00420168067226891,NA,NA,NA,"Sugungum_1970",2,"W",10
50,"Matsari","DC2",0,117,216,0.541666666666667,204,216,0.944444444444444,"Matsari_1970",2,"DC",2
50,"Matsari","DC2",50,77,216,0.356481481481481,12,216,0.0555555555555556,"Matsari_1970",2,"DC",2
50,"Matsari","DC2",500,20,216,0.0925925925925926,NA,NA,NA,"Matsari_1970",2,"DC",2
50,"Matsari","DC2",5000,2,216,0.00925925925925926,NA,NA,NA,"Matsari_1970",2,"DC",2
50,"Matsari","DH2",0,116,159,0.729559748427673,154,159,0.968553459119497,"Matsari_1970",2,"DH",7
50,"Matsari","DH2",50,41,159,0.257861635220126,4,159,0.0251572327044025,"Matsari_1970",2,"DH",7
50,"Matsari","DH2",500,1,159,0.00628930817610063,1,159,0.00628930817610063,"Matsari_1970",2,"DH",7
50,"Matsari","DH2",5000,1,159,0.00628930817610063,NA,NA,NA,"Matsari_1970",2,"DH",7
50,"Matsari","W2",0,115,149,0.771812080536913,141,149,0.946308724832215,"Matsari_1970",2,"W",10
50,"Matsari","W2",50,30,149,0.201342281879195,7,149,0.0469798657718121,"Matsari_1970",2,"W",10
50,"Matsari","W2",500,4,149,0.0268456375838926,1,149,0.00671140939597315,"Matsari_1970",2,"W",10
50,"Rafin Marke","DC2",0,59,93,0.634408602150538,91,93,0.978494623655914,"Rafin_Marke_1970",2,"DC",2
50,"Rafin Marke","DC2",50,30,93,0.32258064516129,2,93,0.021505376344086,"Rafin_Marke_1970",2,"DC",2
50,"Rafin Marke","DC2",500,3,93,0.032258064516129,NA,NA,NA,"Rafin_Marke_1970",2,"DC",2
50,"Rafin Marke","DC2",5000,1,93,0.010752688172043,NA,NA,NA,"Rafin_Marke_1970",2,"DC",2
50,"Rafin Marke","DH2",0,141,177,0.796610169491525,174,177,0.983050847457627,"Rafin_Marke_1970",2,"DH",7
50,"Rafin Marke","DH2",50,36,177,0.203389830508475,3,177,0.0169491525423729,"Rafin_Marke_1970",2,"DH",7
50,"Rafin Marke","W2",0,74,101,0.732673267326733,98,101,0.97029702970297,"Rafin_Marke_1970",2,"W",10
