"site_month","loglikelihood_new_sim","loglikelihood_benchmark_sim"
"dielmo_1990_monthmultiple",-Inf,-Inf
"dongubougou_1999_monthmultiple",-84.2610305190167,-84.2146410425814
"ebolakounou_1997_monthmultiple",-1363.0296306907,-1364.55180884569
"koundou_1997_monthmultiple",-1245.54037633808,-1249.51398347697
"matsari_1970_month10",-50.6625995433264,-50.6774401245809
"matsari_1970_month2",-263.258047602821,-263.729239450083
"matsari_1970_month7",-67.3329284641019,-67.1291155350826
"ndiop_1993_monthmultiple",NA,NA
"rafin_marke_1970_month10",-29.3871065392157,-29.3883897416673
"rafin_marke_1970_month2",-145.895199050604,-145.397736203953
"rafin_marke_1970_month7",-63.7884217486177,-64.0206355854979
"sotuba_1999_monthmultiple",-272.370152469438,-273.454876135101
"sugungum_1970_month10",-152.749466850097,-152.401171178978
"sugungum_1970_month2",-335.019030473857,-333.956856028608
"sugungum_1970_month7",-31.5044635705056,-31.4323948317708
