dens_bin_set1,dens_bin_set2,dens_bin_set3,dens_bin_set4
0,0,0,0
50,50,50,50
500,500,500,500
5000,5000,2000,4000
5000000,50000,5000,6000
,5000000,7000,8000
,,50000,10000
,,5000000,50000
,,,500000
,,,5000000
