"Site","mean_rel_diff","mean_abs_diff","corr_slope","corr_r_squared","mean_rel_slope_diff","mean_abs_slpe_diff"
"all_sites",0.706400130111333,0.265726338331594,NA,NA,NA,NA
"chonyi_1999_month7",0.684481132101617,0.340559706954838,0.151465454787328,0.408588156779992,8.34308202753021,0.0360333729922689
"dielmo_1990_monthmultiple",0.572472261361979,0.397547077529811,0.618440467842407,0.927841704693943,0.875240474907953,0.0206524550915695
"dongubougou_1999_monthmultiple",0.291892589121122,0.170649324868727,0.130195675063397,0.0948802669190755,0.592919918509331,0.0245837432555558
"ebolakounou_1997_monthmultiple",0.686059168502794,0.388921181047381,-0.110298383621387,0.112256534707756,0.904077994093859,0.010925099589308
"koundou_1997_monthmultiple",0.562083310451251,0.346756053383179,0.433730034371544,0.744556619356781,1.29688963093583,0.00589897287530125
"matsari_1970_month10",0.39803370575826,0.186875327093569,0.784800667920351,0.925205999088952,1.38133595796875,0.0122814868433008
"matsari_1970_month2",0.630569795692274,0.395616935575897,0.783910697254816,0.993154779191588,Inf,0.0024471770574735
"matsari_1970_month7",0.440190311795892,0.233626452773058,0.679663835597471,0.872715192158845,0.919328249616525,0.00826815008830142
"ndiop_1993_monthmultiple",0.46786219901551,0.14931948123069,0.529700547312227,0.800262809148487,0.595309477947149,0.00814957594290102
"ngerenya_1999_month7",0.849806594636861,0.255086769364492,0.0142588067070831,0.00338769126793575,0.918383582538314,0.0316864213695098
"rafin_marke_1970_month10",0.335468370523952,0.141482689971784,0.888259173622207,0.716731610381856,0.585280028723851,0.0167080747571354
"rafin_marke_1970_month2",0.688605336426891,0.395759200846443,0.38107561910661,0.917712376113482,0.491691266677311,0.00724753560372682
"rafin_marke_1970_month7",0.368321272393267,0.173893287316022,0.52991707061963,0.800022628155102,60.803846074151,0.0101587397373896
"sotuba_1999_monthmultiple",2.48481781266456,0.183784996608387,0.157333388548274,0.0175683519810203,1.62488228615162,0.0148332007533205
"sugungum_1970_month10",0.464366840898234,0.213021227183795,0.893356278215181,0.915476156025713,1.88894188911758,0.00807973660408029
"sugungum_1970_month2",0.623110169794935,0.326820595148038,0.560092170493763,0.871994912512742,1.85935938208888,0.00949128755982612
"sugungum_1970_month7",0.28506778739491,0.124621682225501,0.75747172729354,0.765652515780878,1.76301357334848,0.0124544825767074
